best_at_domain_edge,best_clearly_separated,candidate_label,candidate_score,generated_ntraces,key,main_negative_metric_contributors,main_positive_metric_contributors,near_tie,rank,scene_id,score_gap_best_to_second,score_gap_to_best
false,false,"""local""",0.998996345388098,9,"""GX-003|local|9""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",true,1,"""GX-003""",0.0,0.0
false,null,"""medium""",0.998996345388098,17,"""GX-003|medium|17""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",true,2,"""GX-003""",null,0.0
false,null,"""large""",0.998996345388098,35,"""GX-003|large|35""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",true,3,"""GX-003""",null,0.0
false,null,"""near_full_line""",0.998996345388098,63,"""GX-003|near_full_line|63""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",true,4,"""GX-003""",null,0.0
false,null,"""near_full_line""",0.998996345388098,89,"""GX-003|near_full_line|89""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",true,5,"""GX-003""",null,0.0
false,null,"""local""",0.998990890743468,3,"""GX-003|local|3""","[""clipping_ratio=0.0010""]","[""roi_contrast=1.0000"", ""target_preservation=0.0000""]",false,6,"""GX-003""",null,5.454644629976357e-06
false,false,"""local""",0.9887287275226763,9,"""GX-004|local|9""","[""global_energy_ratio=0.0108""]","[""lower_false_positive_proxy=0.0093"", ""lower_clipping_ratio=0.0020""]",true,1,"""GX-004""",0.0012584878191366222,0.0
false,null,"""local""",0.9874702397035396,5,"""GX-004|local|5""","[""global_energy_ratio=0.0134""]","[""lower_false_positive_proxy=0.0105"", ""lower_clipping_ratio=0.0020""]",false,2,"""GX-004""",null,0.0012584878191366222
false,null,"""medium""",0.9871590595479236,21,"""GX-004|medium|21""","[""global_energy_ratio=0.0125""]","[""lower_false_positive_proxy=0.0108"", ""lower_clipping_ratio=0.0020""]",false,3,"""GX-004""",null,0.0015696679747526643
false,null,"""near_full_line""",0.9805615618595598,73,"""GX-004|near_full_line|73""","[""global_energy_ratio=0.0199""]","[""lower_false_positive_proxy=0.0174"", ""lower_clipping_ratio=0.0020""]",false,4,"""GX-004""",null,0.008167165663116482
false,null,"""large""",0.9799848228908324,41,"""GX-004|large|41""","[""global_energy_ratio=0.0177""]","[""lower_false_positive_proxy=0.0180"", ""lower_clipping_ratio=0.0020""]",false,5,"""GX-004""",null,0.008743904631843824
false,null,"""full_line""",0.9679106413188676,105,"""GX-004|full_line|105""","[""global_energy_ratio=0.0255""]","[""lower_false_positive_proxy=0.0301"", ""lower_clipping_ratio=0.0020""]",false,6,"""GX-004""",null,0.02081808620380865
false,true,"""local""",9.773616120017676,9,"""GX-005|local|9""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.2820""]","[""higher_target_preservation=0.1572"", ""higher_roi_contrast=9.6184""]",false,1,"""GX-005""",0.17141020624567105,0.0
false,null,"""local""",9.602205913772005,5,"""GX-005|local|5""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.2571""]","[""higher_target_preservation=0.1499"", ""higher_roi_contrast=9.4543""]",false,2,"""GX-005""",null,0.17141020624567105
false,null,"""full_line""",2.620700060862371,105,"""GX-005|full_line|105""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.0414""]","[""higher_target_preservation=0.0357"", ""higher_roi_contrast=2.5870""]",false,3,"""GX-005""",null,7.152916059155306
false,null,"""near_full_line""",1.9763327941235245,73,"""GX-005|near_full_line|73""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.0428""]","[""higher_target_preservation=0.0334"", ""higher_roi_contrast=1.9449""]",false,4,"""GX-005""",null,7.797283325894152
false,null,"""medium""",1.7984341205607715,21,"""GX-005|medium|21""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.0407""]","[""higher_target_preservation=0.0314"", ""higher_roi_contrast=1.7690""]",false,5,"""GX-005""",null,7.975181999456905
false,null,"""large""",1.3630472565507727,41,"""GX-005|large|41""","[""clipping_ratio_penalty=0.0020"", ""imbalance_gap=0.0416""]","[""higher_target_preservation=0.0326"", ""higher_roi_contrast=1.3325""]",false,6,"""GX-005""",null,8.410568863466903
false,true,"""local""",0.5540302271617978,9,"""GX-006|local|9""","[""clutter_fp_proxy=0.0817"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.6378""]",false,1,"""GX-006""",0.16696107664901022,0.0
false,null,"""medium""",0.3870691505127876,21,"""GX-006|medium|21""","[""clutter_fp_proxy=0.0666"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.4557""]",false,2,"""GX-006""",null,0.16696107664901022
false,null,"""local""",0.29173696222465645,5,"""GX-006|local|5""","[""clutter_fp_proxy=0.1132"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.4069""]",false,3,"""GX-006""",null,0.2622932649371414
false,null,"""large""",0.2731746640307534,41,"""GX-006|large|41""","[""clutter_fp_proxy=0.0330"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.3082""]",false,4,"""GX-006""",null,0.28085556313104443
false,null,"""near_full_line""",0.23083959168786336,73,"""GX-006|near_full_line|73""","[""clutter_fp_proxy=0.0541"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.2870""]",false,5,"""GX-006""",null,0.32319063547393445
false,null,"""full_line""",0.047434516572981936,105,"""GX-006|full_line|105""","[""clutter_fp_proxy=0.0605"", ""clipping_ratio=0.0020""]","[""higher_layer_ratio_proxy=0.1100""]",false,6,"""GX-006""",null,0.5065957105888159
